Year,Month,Passengers,Line
2017,1,549007,1
2017,1,515947,2
2017,1,770564,3
2017,1,621256,5
2017,1,429640,7
2017,1,520692,9
2017,1,322392,4
2017,1,95473,6
2017,1,18188,8
2017,1,0,10
2017,2,651231,1
2017,2,585220,2
2017,2,904821,3
2017,2,711228,5
2017,2,488948,7
2017,2,616795,9
2017,2,442298,4
2017,2,129806,6
2017,2,20631,8
2017,2,0,10
2017,3,889874,1
2017,3,805222,2
2017,3,1241660,3
2017,3,1059082,5
2017,3,714116,7
2017,3,853303,9
2017,3,561874,4
2017,3,155534,6
2017,3,26139,8
2017,3,0,10
2017,4,670034,1
2017,4,610025,2
2017,4,913355,3
2017,4,797596,5
2017,4,527791,7
2017,4,619630,9
2017,4,443678,4
2017,4,138722,6
2017,4,31648,8
2017,4,0,10
2017,5,845639,1
2017,5,747375,2
2017,5,1110538,3
2017,5,921005,5
2017,5,618673,7
2017,5,746460,9
2017,5,570663,4
2017,5,178880,6
2017,5,40996,8
2017,5,0,10
2017,6,792808,1
2017,6,703608,2
2017,6,1048260,3
2017,6,872186,5
2017,6,593164,7
2017,6,701588,9
2017,6,537717,4
2017,6,178450,6
2017,6,49704,8
2017,6,0,10
2017,7,685524,1
2017,7,651675,2
2017,7,970270,3
2017,7,800603,5
2017,7,537931,7
2017,7,561164,9
2017,7,451998,4
2017,7,150354,6
2017,7,45714,8
2017,7,0,10
2017,8,391209,1
2017,8,519614,2
2017,8,609390,3
2017,8,590440,5
2017,8,376189,7
2017,8,417421,9
2017,8,316107,4
2017,8,100438,6
2017,8,34298,8
2017,8,0,10
2017,9,820032,1
2017,9,746583,2
2017,9,1182563,3
2017,9,904786,5
2017,9,603105,7
2017,9,668270,9
2017,9,569043,4
2017,9,175247,6
2017,9,35700,8
2017,9,0,10
2017,10,937681,1
2017,10,852985,2
2017,10,1350227,3
2017,10,1040523,5
2017,10,694090,7
2017,10,767749,9
2017,10,641462,4
2017,10,195189,6
2017,10,36399,8
2017,10,0,10
2017,11,985696,1
2017,11,897459,2
2017,11,1395627,3
2017,11,1072604,5
2017,11,721649,7
2017,11,810226,9
2017,11,731373,4
2017,11,224503,6
2017,11,32158,8
2017,11,0,10
2017,12,934563,1
2017,12,880492,2
2017,12,1348567,3
2017,12,1067952,5
2017,12,721903,7
2017,12,783913,9
2017,12,602416,4
2017,12,182055,6
2017,12,30793,8
2017,12,0,10
2018,1,576382,1
2018,1,539003,2
2018,1,809886,3
2018,1,620003,5
2018,1,459503,7
2018,1,544142,9
2018,1,331945,4
2018,1,101777,6
2018,1,18729,8
2018,1,0,10
2018,2,683702,1
2018,2,611372,2
2018,2,950994,3
2018,2,709794,5
2018,2,522933,7
2018,2,644573,9
2018,2,455403,4
2018,2,138376,6
2018,2,21244,8
2018,2,0,10
2018,3,934244,1
2018,3,841206,2
2018,3,1305022,3
2018,3,1056947,5
2018,3,763751,7
2018,3,891733,9
2018,3,578522,4
2018,3,165804,6
2018,3,26916,8
2018,3,0,10
2018,4,469196,1
2018,4,637286,2
2018,4,959964,3
2018,4,795988,5
2018,4,564476,7
2018,4,647536,9
2018,4,456824,4
2018,4,147881,6
2018,4,32589,8
2018,4,0,10
2018,5,887804,1
2018,5,780773,2
2018,5,1167209,3
2018,5,919148,5
2018,5,661675,7
2018,5,780079,9
2018,5,587571,4
2018,5,190691,6
2018,5,42215,8
2018,5,0,10
2018,6,832339,1
2018,6,735050,2
2018,6,1101753,3
2018,6,870428,5
2018,6,634393,7
2018,6,733185,9
2018,6,553650,4
2018,6,190233,6
2018,6,51182,8
2018,6,0,10
2018,7,719705,1
2018,7,680797,2
2018,7,1019784,3
2018,7,798988,5
2018,7,575321,7
2018,7,586437,9
2018,7,465390,4
2018,7,160281,6
2018,7,47073,8
2018,7,0,10
2018,8,410715,1
2018,8,542834,2
2018,8,640487,3
2018,8,589250,5
2018,8,402336,7
2018,8,436220,9
2018,8,325473,4
2018,8,107070,6
2018,8,35317,8
2018,8,0,10
2018,9,860920,1
2018,9,779945,2
2018,9,1242909,3
2018,9,902962,5
2018,9,645025,7
2018,9,698367,9
2018,9,585903,4
2018,9,186818,6
2018,9,36761,8
2018,9,0,10
2018,10,984435,1
2018,10,891103,2
2018,10,1419130,3
2018,10,1038425,5
2018,10,742334,7
2018,10,802326,9
2018,10,660468,4
2018,10,208077,6
2018,10,37481,8
2018,10,0,10
2018,11,1034844,1
2018,11,937563,2
2018,11,1466847,3
2018,11,1070441,5
2018,11,771809,7
2018,11,846716,9
2018,11,753044,4
2018,11,239326,6
2018,11,33115,8
2018,11,0,10
2018,12,981162,1
2018,12,919838,2
2018,12,1417385,3
2018,12,1065799,5
2018,12,772080,7
2018,12,819218,9
2018,12,620265,4
2018,12,194076,6
2018,12,31709,8
2018,12,0,10
2019,1,396340,1
2019,1,372957,2
2019,1,571857,3
2019,1,431390,5
2019,1,318145,7
2019,1,378041,9
2019,1,233388,4
2019,1,71379,6
2019,1,13199,8
2019,1,0,10
2019,2,373877,1
2019,2,336417,2
2019,2,534006,3
2019,2,392747,5
2019,2,287931,7
2019,2,356126,9
2019,2,254632,4
2019,2,77176,6
2019,2,11906,8
2019,2,0,10
2019,3,508978,1
2019,3,461160,2
2019,3,730067,3
2019,3,582653,5
2019,3,418958,7
2019,3,490844,9
2019,3,322266,4
2019,3,92129,6
2019,3,15029,8
2019,3,0,10
2019,4,478687,1
2019,4,436383,2
2019,4,670786,3
2019,4,548085,5
2019,4,386767,7
2019,4,445202,9
2019,4,317854,4
2019,4,102636,6
2019,4,22728,8
2019,4,0,10
2019,5,588746,1
2019,5,521010,2
2019,5,794814,3
2019,5,616757,5
2019,5,441810,7
2019,5,522660,9
2019,5,398407,4
2019,5,128974,6
2019,5,28691,8
2019,5,0,10
2019,6,578289,1
2019,6,513892,2
2019,6,786022,3
2019,6,611921,5
2019,6,443796,7
2019,6,514669,9
2019,6,393310,4
2019,6,134800,6
2019,6,36444,8
2019,6,0,10
2019,7,516187,1
2019,7,491338,2
2019,7,751046,3
2019,7,579844,5
2019,7,415474,7
2019,7,424956,9
2019,7,341292,4
2019,7,117246,6
2019,7,34601,8
2019,7,0,10
2019,8,320553,1
2019,8,426321,2
2019,8,513305,3
2019,8,465347,5
2019,8,316175,7
2019,8,343981,9
2019,8,259734,4
2019,8,85229,6
2019,8,28250,8
2019,8,0,10
2019,9,705304,1
2019,9,642966,2
2019,9,1045583,3
2019,9,748516,5
2019,9,532071,7
2019,9,578051,9
2019,9,490789,4
2019,9,156097,6
2019,9,30865,8
2019,9,0,10
2019,10,733175,1
2019,10,667819,2
2019,10,1085296,3
2019,10,782553,5
2019,10,637334,7
2019,10,603728,9
2019,10,502954,4
2019,10,158054,6
2019,10,28609,8
2019,10,0,10
2019,11,749601,1
2019,11,681174,2
2019,11,1087520,3
2019,11,782038,5
2019,11,561095,7
2019,11,617667,9
2019,11,555933,4
2019,11,176237,6
2019,11,24504,8
2019,11,0,10
2019,12,664670,1
2019,12,627029,2
2019,12,985960,3
2019,12,730566,5
2019,12,526633,7
2019,12,560705,9
2019,12,429634,4
2019,12,134091,6
2019,12,22015,8
2019,12,0,10
2020,1,327985,1
2020,1,318176,2
2020,1,435569,3
2020,1,325658,5
2020,1,256243,7
2020,1,292889,9
2020,1,183883,4
2020,1,53983,6
2020,1,7785,8
2020,1,0,10
2020,2,389055,1
2020,2,360895,2
2020,2,511459,3
2020,2,372821,5
2020,2,291615,7
2020,2,346947,9
2020,2,252274,4
2020,2,73395,6
2020,2,8830,8
2020,2,0,10
2020,3,531624,1
2020,3,496567,2
2020,3,701861,3
2020,3,555164,5
2020,3,425907,7
2020,3,479983,9
2020,3,320476,4
2020,3,87943,6
2020,3,11188,8
2020,3,0,10
2020,4,400288,1
2020,4,376192,2
2020,4,516283,3
2020,4,418095,5
2020,4,314781,7
2020,4,348542,9
2020,4,253061,4
2020,4,78437,6
2020,4,13546,8
2020,4,0,10
2020,5,505197,1
2020,5,460894,2
2020,5,627743,3
2020,5,482785,5
2020,5,368985,7
2020,5,419884,9
2020,5,325489,4
2020,5,101143,6
2020,5,17547,8
2020,5,0,10
2020,6,473635,1
2020,6,433903,2
2020,6,592539,3
2020,6,457194,5
2020,6,353770,7
2020,6,394643,9
2020,6,306698,4
2020,6,100900,6
2020,6,21274,8
2020,6,0,10
2020,7,409542,1
2020,7,401877,2
2020,7,548455,3
2020,7,419671,5
2020,7,320829,7
2020,7,315655,9
2020,7,257806,4
2020,7,85014,6
2020,7,19566,8
2020,7,0,10
2020,8,233714,1
2020,8,320437,2
2020,8,344464,3
2020,8,309505,5
2020,8,224364,7
2020,8,234799,9
2020,8,180298,4
2020,8,56790,6
2020,8,14680,8
2020,8,0,10
2020,9,489899,1
2020,9,460405,2
2020,9,668455,3
2020,9,474283,5
2020,9,359700,7
2020,9,375902,9
2020,9,324565,4
2020,9,99089,6
2020,9,15280,8
2020,9,0,10
2020,10,560184,1
2020,10,526022,2
2020,10,763229,3
2020,10,545435,5
2020,10,413964,7
2020,10,431859,9
2020,10,365871,4
2020,10,110365,6
2020,10,15579,8
2020,10,0,10
2020,11,588869,1
2020,11,553448,2
2020,11,788892,3
2020,11,562252,5
2020,11,430401,7
2020,11,455752,9
2020,11,417154,4
2020,11,126940,6
2020,11,13764,8
2020,11,0,10
2020,12,558322,1
2020,12,542984,2
2020,12,762291,3
2020,12,559814,5
2020,12,430552,7
2020,12,440951,9
2020,12,343600,4
2020,12,102939,6
2020,12,13180,8
2020,12,0,10
2021,1,341672,1
2021,1,345331,2
2021,1,509676,3
2021,1,422103,5
2021,1,324638,7
2021,1,322561,9
2021,1,160957,4
2021,1,77250,6
2021,1,9592,8
2021,1,0,10
2021,2,322308,1
2021,2,311497,2
2021,2,475941,3
2021,2,384293,5
2021,2,293807,7
2021,2,303862,9
2021,2,175609,4
2021,2,83524,6
2021,2,8653,8
2021,2,0,10
2021,3,438774,1
2021,3,427000,2
2021,3,650683,3
2021,3,570111,5
2021,3,427509,7
2021,3,418809,9
2021,3,222252,4
2021,3,99706,6
2021,3,10922,8
2021,3,0,10
2021,4,412662,1
2021,4,404059,2
2021,4,597849,3
2021,4,536287,5
2021,4,394660,7
2021,4,379865,9
2021,4,219210,4
2021,4,111078,6
2021,4,16518,8
2021,4,0,10
2021,5,507540,1
2021,5,482417,2
2021,5,708390,3
2021,5,603481,5
2021,5,450827,7
2021,5,445955,9
2021,5,274763,4
2021,5,139582,6
2021,5,20851,8
2021,5,0,10
2021,6,498525,1
2021,6,475826,2
2021,6,700554,3
2021,6,598749,5
2021,6,452853,7
2021,6,439137,9
2021,6,271248,4
2021,6,145888,6
2021,6,26485,8
2021,6,0,10
2021,7,444989,1
2021,7,454943,2
2021,7,669382,3
2021,7,567362,5
2021,7,423953,7
2021,7,362591,9
2021,7,235374,4
2021,7,126889,6
2021,7,25146,8
2021,7,0,10
2021,8,276339,1
2021,8,394742,2
2021,8,457491,3
2021,8,455330,5
2021,8,322628,7
2021,8,293499,9
2021,8,179127,4
2021,8,92239,6
2021,8,20530,8
2021,8,0,10
2021,9,608020,1
2021,9,595339,2
2021,9,931892,3
2021,9,732403,5
2021,9,542930,7
2021,9,493218,9
2021,9,338475,4
2021,9,168936,6
2021,9,22431,8
2021,9,0,10
2021,10,632047,1
2021,10,618351,2
2021,10,967287,3
2021,10,765707,5
2021,10,568033,7
2021,10,515126,9
2021,10,346865,4
2021,10,171054,6
2021,10,20791,8
2021,10,0,10
2021,11,646208,1
2021,11,630716,2
2021,11,969269,3
2021,11,765203,5
2021,11,572546,7
2021,11,527019,9
2021,11,383402,4
2021,11,190733,6
2021,11,17808,8
2021,11,0,10
2021,12,572991,1
2021,12,580582,2
2021,12,878752,3
2021,12,714839,5
2021,12,537381,7
2021,12,478417,9
2021,12,296299,4
2021,12,145120,6
2021,12,15999,8
2021,12,0,10
2022,1,506932,1
2022,1,512360,2
2022,1,756196,3
2022,1,626266,5
2022,1,481659,7
2022,1,478577,9
2022,1,238809,4
2022,1,114614,6
2022,1,14232,8
2022,1,0,10
2022,2,601321,1
2022,2,581152,2
2022,2,887950,3
2022,2,716964,5
2022,2,548148,7
2022,2,566907,9
2022,2,327628,4
2022,2,155829,6
2022,2,16143,8
2022,2,0,10
2022,3,821675,1
2022,3,799625,2
2022,3,1218508,3
2022,3,1067623,5
2022,3,800578,7
2022,3,784286,9
2022,3,416203,4
2022,3,186716,6
2022,3,20453,8
2022,3,0,10
2022,4,618683,1
2022,4,605785,2
2022,4,896325,3
2022,4,804028,5
2022,4,591694,7
2022,4,569513,9
2022,4,328650,4
2022,4,166533,6
2022,4,24764,8
2022,4,0,10
2022,5,780830,1
2022,5,742180,2
2022,5,1089831,3
2022,5,928432,5
2022,5,693580,7
2022,5,686085,9
2022,5,422713,4
2022,5,214742,6
2022,5,32078,8
2022,5,47758,10
2022,6,732048,1
2022,6,698717,2
2022,6,1028714,3
2022,6,879220,5
2022,6,664982,7
2022,6,644842,9
2022,6,398309,4
2022,6,214226,6
2022,6,38892,8
2022,6,97902,10
2022,7,632986,1
2022,7,647145,2
2022,7,952179,3
2022,7,807059,5
2022,7,603062,7
2022,7,515776,9
2022,7,334813,4
2022,7,180497,6
2022,7,35770,8
2022,7,109528,10
2022,8,361227,1
2022,8,516002,2
2022,8,598027,3
2022,8,595202,5
2022,8,421736,7
2022,8,383659,9
2022,8,234153,4
2022,8,120574,6
2022,8,26837,8
2022,8,86831,10
2022,9,757186,1
2022,9,741393,2
2022,9,1160513,3
2022,9,912083,5
2022,9,676127,7
2022,9,614219,9
2022,9,421513,4
2022,9,210381,6
2022,9,27934,8
2022,9,95453,10
2022,10,865818,1
2022,10,847056,2
2022,10,1325051,3
2022,10,1048914,5
2022,10,778128,7
2022,10,705652,9
2022,10,475157,4
2022,10,234321,6
2022,10,28481,8
2022,10,118539,10
2022,11,910153,1
2022,11,891220,2
2022,11,1369605,3
2022,11,1081254,5
2022,11,809024,7
2022,11,744693,9
2022,11,541758,4
2022,11,269511,6
2022,11,25163,8
2022,11,119592,10
2022,12,862939,1
2022,12,874371,2
2022,12,1323422,3
2022,12,1076565,5
2022,12,809308,7
2022,12,720508,9
2022,12,446234,4
2022,12,218554,6
2022,12,24095,8
2022,12,147265,10
2023,1,910710,1
2023,1,863525,2
2023,1,1292987,3
2023,1,1021391,5
2023,1,799536,7
2023,1,767579,9
2023,1,483085,4
2023,1,217035,6
2023,1,19885,8
2023,1,146750,10
2023,2,957802,1
2023,2,879711,2
2023,2,1320754,3
2023,2,1048272,5
2023,2,816703,7
2023,2,804526,9
2023,2,589673,4
2023,2,260357,6
2023,2,20181,8
2023,2,157891,10
2023,3,1354684,1
2023,3,1260287,2
2023,3,1888121,3
2023,3,1564355,5
2023,3,1248101,7
2023,3,1147598,9
2023,3,797261,4
2023,3,337243,6
2023,3,33363,8
2023,3,280404,10
2023,4,924215,1
2023,4,877683,2
2023,4,1298766,3
2023,4,1089542,5
2023,4,824474,7
2023,4,757923,9
2023,4,567641,4
2023,4,267782,6
2023,4,38455,8
2023,4,189280,10
2023,5,1093199,1
2023,5,1029863,2
2023,5,1529351,3
2023,5,1254143,5
2023,5,955648,7
2023,5,904483,9
2023,5,697947,4
2023,5,318265,6
2023,5,34495,8
2023,5,201064,10
2023,6,1018953,1
2023,6,974437,2
2023,6,1423452,3
2023,6,1184126,5
2023,6,915364,7
2023,6,835217,9
2023,6,668541,4
2023,6,333883,6
2023,6,52190,8
2023,6,200668,10
2023,7,847406,1
2023,7,889793,2
2023,7,1278441,3
2023,7,1074011,5
2023,7,821148,7
2023,7,735419,9
2023,7,530662,4
2023,7,254913,6
2023,7,53539,8
2023,7,199120,10
2023,8,690248,1
2023,8,671671,2
2023,8,974862,3
2023,8,861580,5
2023,8,574125,7
2023,8,543733,9
2023,8,417200,4
2023,8,193132,6
2023,8,40873,8
2023,8,177311,10
,,,